DBN,School Name,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4
01M015,P.S. 015 ROBERTO CLEMENTE,3,2023,All Students,24,454.8333435,4,16.66666603,5,20.83333397,11,45.83333206,4,16.66666603,15,62.5
01M015,P.S. 015 ROBERTO CLEMENTE,5,2023,All Students,30,440.5,10,33.33333206,11,36.66666794,7,23.33333397,2,6.666666508,9,30
01M015,P.S. 015 ROBERTO CLEMENTE,All Grades,2023,All Students,72,s,s,s,s,s,s,s,s,s,s,s
01M015,P.S. 015 ROBERTO CLEMENTE,4,2022,All Students,30,595.5,6,20,14,46.66666794,5,16.66666603,5,16.66666603,10,33.33333206
01M015,P.S. 015 ROBERTO CLEMENTE,All Grades,2022,All Students,74,596.2161865,21,28.37837791,30,40.54053879,13,17.56756783,10,13.51351357,23,31.08108139
01M015,P.S. 015 ROBERTO CLEMENTE,4,2019,All Students,18,607.055542,0,0,4,22.22222137,11,61.11111069,3,16.66666603,14,77.77777863
01M015,P.S. 015 ROBERTO CLEMENTE,All Grades,2019,All Students,70,605.6428833,7,10,21,30,33,47.1428566,9,12.85714245,42,60
01M015,P.S. 015 ROBERTO CLEMENTE,4,2018,All Students,26,611.1923218,0,0,8,30.76922989,12,46.15384674,6,23.07692337,18,69.2307663
01M015,P.S. 015 ROBERTO CLEMENTE,All Grades,2018,All Students,67,610.2985229,5,7.462686539,17,25.37313461,31,46.26865768,14,20.89552307,45,67.16417694
01M015,P.S. 015 ROBERTO CLEMENTE,4,2017,All Students,23,313.7826233,1,4.347826004,12,52.17391205,9,39.13043594,1,4.347826004,10,43.47826004
01M015,P.S. 015 ROBERTO CLEMENTE,All Grades,2017,All Students,67,308.3283691,12,17.91044807,31,46.26865768,21,31.3432827,3,4.477612019,24,35.82089615
01M015,P.S. 015 ROBERTO CLEMENTE,4,2016,All Students,15,298.1333313,5,33.33333206,7,46.66666794,3,20,0,0,3,20
01M015,P.S. 015 ROBERTO CLEMENTE,All Grades,2016,All Students,51,292.7450867,23,45.09803772,18,35.29411697,10,19.6078434,0,0,10,19.6078434
01M015,P.S. 015 ROBERTO CLEMENTE,4,2015,All Students,16,288.125,5,31.25,11,68.75,0,0,0,0,0,0
01M015,P.S. 015 ROBERTO CLEMENTE,All Grades,2015,All Students,56,283.28570560000003,28,50,25,44.6428566,3,5.357142925,0,0,3,5.357142925
01M015,P.S. 015 ROBERTO CLEMENTE,4,2014,All Students,24,283.7916565,13,54.16666794,10,41.66666794,1,4.166666508,0,0,1,4.166666508
01M015,P.S. 015 ROBERTO CLEMENTE,All Grades,2014,All Students,63,278.9047546,38,60.31745911,23,36.50793839,1,1.587301612,1,1.587301612,2,3.174603224
01M015,P.S. 015 ROBERTO CLEMENTE,4,2013,All Students,20,277.6499939,8,40,11,55,1,5,0,0,1,5
01M015,P.S. 015 ROBERTO CLEMENTE,All Grades,2013,All Students,71,284.2112732,34,47.88732529,33,46.47887421,4,5.633802891,0,0,4,5.633802891
01M020,P.S. 020 ANNA SILVER,4,2023,All Students,36,438.75,14,38.88888931,10,27.77777863,10,27.77777863,2,5.555555344,12,33.33333206
01M020,P.S. 020 ANNA SILVER,All Grades,2023,All Students,93,436.8494568,39,41.93548203,27,29.03225899,24,25.8064518,3,3.225806475,27,29.03225899
01M020,P.S. 020 ANNA SILVER,4,2022,All Students,39,582.9743652,18,46.15384674,15,38.46154022,4,10.2564106,2,5.128205299,6,15.38461494
01M020,P.S. 020 ANNA SILVER,All Grades,2022,All Students,110,589.3636475,48,43.63636398,36,32.72727203,15,13.63636398,11,10,26,23.63636398
01M020,P.S. 020 ANNA SILVER,4,2019,All Students,77,598.6104126,15,19.48052025,26,33.76623535,25,32.46753311,11,14.28571415,36,46.75324631
01M020,P.S. 020 ANNA SILVER,All Grades,2019,All Students,197,596.9187622,50,25.3807106,69,35.02537918,58,29.44162369,20,10.15228462,78,39.59391022
01M020,P.S. 020 ANNA SILVER,4,2018,All Students,72,596.166687,20,27.77777863,17,23.61111069,24,33.33333206,11,15.27777767,35,48.61111069
01M020,P.S. 020 ANNA SILVER,All Grades,2018,All Students,209,595.7128906,63,30.14354134,63,30.14354134,59,28.22966576,24,11.48325348,83,39.71291733
