DBN,School Name,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4
01M020,P.S. 020 ANNA SILVER,4,2017,All Students,66,307.8181763,17,25.75757599,19,28.78787804,15,22.72727203,15,22.72727203,30,45.45454407
01M020,P.S. 020 ANNA SILVER,All Grades,2017,All Students,208,296.7836609,74,35.57692337,74,35.57692337,39,18.75,21,10.09615421,60,28.84615326
01M020,P.S. 020 ANNA SILVER,4,2016,All Students,70,302.2285767,18,25.7142849,26,37.1428566,17,24.2857151,9,12.85714245,26,37.1428566
01M020,P.S. 020 ANNA SILVER,All Grades,2016,All Students,219,300.7899475,68,31.05022812,78,35.61643982,56,25.57077599,17,7.76255703,73,33.33333206
01M020,P.S. 020 ANNA SILVER,4,2015,All Students,91,289.4835205,35,38.46154022,39,42.8571434,13,14.28571415,4,4.39560461,17,18.68131828
01M020,P.S. 020 ANNA SILVER,All Grades,2015,All Students,240,292.6416626,87,36.25,91,37.91666794,50,20.83333397,12,5,62,25.83333397
01M020,P.S. 020 ANNA SILVER,4,2014,All Students,65,300.3076782,18,27.69230843,28,43.07692337,14,21.53846169,5,7.692307472,19,29.23077011
01M020,P.S. 020 ANNA SILVER,All Grades,2014,All Students,229,289.6157227,103,44.97816467,80,34.93449783,37,16.15720558,9,3.930130959,46,20.08733559
01M020,P.S. 020 ANNA SILVER,4,2013,All Students,74,294.5,26,35.13513565,31,41.89189148,15,20.27026939,2,2.702702761,17,22.97297287
01M020,P.S. 020 ANNA SILVER,All Grades,2013,All Students,227,293.9030762,85,37.44493484,98,43.17180634,41,18.06167412,3,1.321585894,44,19.38326073
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,4,2023,All Students,20,439.0499878,7,35,6,30,6,30,1,5,7,35
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6,2023,All Students,24,438,7,29.16666603,11,45.83333206,4,16.66666603,2,8.333333015,6,25
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,8,2023,All Students,36,445.8888855,4,11.11111069,19,52.77777863,10,27.77777863,3,8.333333015,13,36.11111069
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,3,2022,All Students,24,583.125,11,45.83333206,6,25,7,29.16666603,0,0,7,29.16666603
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,5,2022,All Students,17,589.0588379,9,52.94117737,6,35.29411697,1,5.882352829,1,5.882352829,2,11.76470566
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,7,2022,All Students,40,591.5499878,17,42.5,17,42.5,5,12.5,1,2.5,6,15
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2022,All Students,151,589.0927124,60,39.73509979,58,38.41059494,23,15.23178768,10,6.622516632,33,21.85430527
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,4,2019,All Students,39,586.6410522,16,41.0256424,13,33.33333206,9,23.07692337,1,2.56410265,10,25.64102554
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6,2019,All Students,38,589.3947144,16,42.10526276,10,26.31579018,8,21.05263138,4,10.52631569,12,31.57894707
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,8,2019,All Students,32,596.84375,5,15.625,18,56.25,4,12.5,5,15.625,9,28.125
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,3,2018,All Students,39,586.7435913,15,38.46154022,14,35.89743423,9,23.07692337,1,2.56410265,10,25.64102554
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,5,2018,All Students,27,594.0740967,13,48.14814758,8,29.62962914,6,22.22222137,0,0,6,22.22222137
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,7,2018,All Students,31,594.2903442,12,38.70967865,12,38.70967865,5,16.12903214,2,6.451612949,7,22.58064461
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2018,All Students,214,592.8131104,72,33.64485931,85,39.71962738,39,18.22429848,18,8.411214828,57,26.63551331
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,4,2017,All Students,25,289.6400146,8,32,14,56,3,12,0,0,3,12
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6,2017,All Students,30,288.9666748,10,33.33333206,16,53.33333206,3,10,1,3.333333254,4,13.33333302
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,8,2017,All Students,55,309.9272766,7,12.72727299,23,41.81818008,19,34.54545593,6,10.909091,25,45.45454407
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,3,2016,All Students,27,312,6,22.22222137,9,33.33333206,12,44.44444275,0,0,12,44.44444275
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,5,2016,All Students,29,285.1379395,12,41.37931061,12,41.37931061,5,17.24137878,0,0,5,17.24137878
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,7,2016,All Students,55,302.5090942,11,20,29,52.72727203,11,20,4,7.272727489,15,27.27272797
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2016,All Students,247,299.133606,62,25.10121536,117,47.36841965,59,23.88664055,9,3.64372468,68,27.53036499
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,4,2015,All Students,30,289.1333313,7,23.33333397,18,60,5,16.66666603,0,0,5,16.66666603
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6,2015,All Students,54,296.944458,13,24.07407379,31,57.40740585,7,12.9629631,3,5.555555344,10,18.51851845
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,8,2015,All Students,56,300.41070560000003,11,19.642856600000002,24,42.8571434,18,32.1428566,3,5.357142925,21,37.5
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,3,2014,All Students,32,270.25,19,59.375,10,31.25,3,9.375,0,0,3,9.375
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,5,2014,All Students,42,291.2619019,19,45.23809433,16,38.09523773,5,11.90476227,2,4.761904716,7,16.66666603
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,7,2014,All Students,57,300.0175476,17,29.82456207,27,47.36841965,10,17.54385948,3,5.263157845,13,22.80701828
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2014,All Students,264,291.5681763,97,36.74242401,115,43.56060791,40,15.15151501,12,4.545454502,52,19.69696999
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,4,2013,All Students,46,303.5,10,21.73913002,25,54.34782791,8,17.39130402,3,6.521739006,11,23.91304398
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6,2013,All Students,56,291.1785583,19,33.92856979,29,51.785713200000004,6,10.71428585,2,3.571428537,8,14.28571415
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,8,2013,All Students,43,291.2092896,17,39.53488541,20,46.5116272,6,13.95348835,0,0,6,13.95348835
01M063,THE STAR ACADEMY - P.S.63,3,2023,All Students,15,441.1333313,1,6.666666508,10,66.66666412,4,26.66666603,0,0,4,26.66666603
01M063,THE STAR ACADEMY - P.S.63,5,2023,All Students,9,434.777771,4,44.44444275,3,33.33333206,2,22.22222137,0,0,2,22.22222137
01M063,THE STAR ACADEMY - P.S.63,3,2022,All Students,17,599,1,5.882352829,9,52.94117737,7,41.17647171,0,0,7,41.17647171
01M063,THE STAR ACADEMY - P.S.63,5,2022,All Students,13,592.0769043,7,53.84615326,3,23.07692337,3,23.07692337,0,0,3,23.07692337
01M063,THE STAR ACADEMY - P.S.63,3,2019,All Students,32,600.125,2,6.25,15,46.875,14,43.75,1,3.125,15,46.875
01M063,THE STAR ACADEMY - P.S.63,5,2019,All Students,23,603.8695679,7,30.43478203,5,21.73913002,6,26.08695602,5,21.73913002,11,47.82608795
01M063,THE STAR ACADEMY - P.S.63,3,2018,All Students,19,601.5789185,1,5.263157845,9,47.36841965,9,47.36841965,0,0,9,47.36841965
01M063,THE STAR ACADEMY - P.S.63,5,2018,All Students,22,609.4545288,3,13.63636398,7,31.81818199,7,31.81818199,5,22.72727203,12,54.54545593
01M063,THE STAR ACADEMY - P.S.63,3,2017,All Students,26,321.7692261,2,7.692307472,10,38.46154022,12,46.15384674,2,7.692307472,14,53.84615326
01M063,THE STAR ACADEMY - P.S.63,5,2017,All Students,18,321.944458,3,16.66666603,3,16.66666603,7,38.88888931,5,27.77777863,12,66.66666412
01M063,THE STAR ACADEMY - P.S.63,3,2016,All Students,21,322.28570560000003,3,14.28571415,6,28.5714283,10,47.61904907,2,9.523809433,12,57.1428566
01M063,THE STAR ACADEMY - P.S.63,5,2016,All Students,12,300.5,4,33.33333206,4,33.33333206,3,25,1,8.333333015,4,33.33333206
01M063,THE STAR ACADEMY - P.S.63,3,2015,All Students,17,294.2941284,9,52.94117737,1,5.882352829,6,35.29411697,1,5.882352829,7,41.17647171
01M063,THE STAR ACADEMY - P.S.63,5,2015,All Students,20,294.8999939,7,35,9,45,4,20,0,0,4,20
01M063,THE STAR ACADEMY - P.S.63,3,2014,All Students,17,294.1176453,6,35.29411697,6,35.29411697,5,29.41176414,0,0,5,29.41176414
01M063,THE STAR ACADEMY - P.S.63,5,2014,All Students,17,284.0588379,6,35.29411697,8,47.05882263,3,17.64705849,0,0,3,17.64705849
01M063,THE STAR ACADEMY - P.S.63,3,2013,All Students,19,287.7894592,8,42.10526276,8,42.10526276,3,15.78947353,0,0,3,15.78947353
01M063,THE STAR ACADEMY - P.S.63,5,2013,All Students,22,287.8636475,13,59.09090805,5,22.72727203,4,18.18181801,0,0,4,18.18181801
01M064,P.S. 064 ROBERT SIMON,3,2023,All Students,15,456.6000061,0,0,5,33.33333206,7,46.66666794,3,20,10,66.66666412
01M064,P.S. 064 ROBERT SIMON,5,2023,All Students,33,440.0909119,10,30.30303001,10,30.30303001,12,36.36363602,1,3.030303001,13,39.39393997
01M064,P.S. 064 ROBERT SIMON,3,2022,All Students,31,591.5484009,5,16.12903214,22,70.96774292,3,9.677419662,1,3.225806475,4,12.9032259
01M064,P.S. 064 ROBERT SIMON,5,2022,All Students,35,594.7999878,15,42.8571434,10,28.5714283,6,17.142856600000002,4,11.428571699999999,10,28.5714283
01M064,P.S. 064 ROBERT SIMON,3,2019,All Students,26,606.2692261,0,0,8,30.76922989,17,65.38461304,1,3.846153736,18,69.2307663
01M064,P.S. 064 ROBERT SIMON,5,2019,All Students,29,598.4138184,7,24.13793182,13,44.82758713,7,24.13793182,2,6.896551609,9,31.03448296
01M064,P.S. 064 ROBERT SIMON,3,2018,All Students,26,591.8846436,5,19.23077011,14,53.84615326,7,26.92307663,0,0,7,26.92307663
01M064,P.S. 064 ROBERT SIMON,5,2018,All Students,32,590.875,17,53.125,10,31.25,2,6.25,3,9.375,5,15.625
01M064,P.S. 064 ROBERT SIMON,3,2017,All Students,27,310.444458,4,14.81481457,14,51.85185242,9,33.33333206,0,0,9,33.33333206
01M064,P.S. 064 ROBERT SIMON,5,2017,All Students,43,301.325592,12,27.9069767,18,41.860466,9,20.930233,4,9.302325249,13,30.2325573
01M064,P.S. 064 ROBERT SIMON,3,2016,All Students,29,297.5517273,12,41.37931061,11,37.93103409,5,17.24137878,1,3.448275805,6,20.6896553
01M064,P.S. 064 ROBERT SIMON,5,2016,All Students,42,293.0476074,15,35.714286799999996,19,45.23809433,8,19.04761887,0,0,8,19.04761887
01M064,P.S. 064 ROBERT SIMON,3,2015,All Students,40,294.0750122,14,35,18,45,8,20,0,0,8,20
01M064,P.S. 064 ROBERT SIMON,5,2015,All Students,37,284.5946045,19,51.35135269,16,43.24324417,2,5.405405521,0,0,2,5.405405521
01M064,P.S. 064 ROBERT SIMON,3,2014,All Students,43,290.674408,21,48.83720779,14,32.5581398,8,18.6046505,0,0,8,18.6046505
01M064,P.S. 064 ROBERT SIMON,5,2014,All Students,37,289.4324341,17,45.94594574,14,37.83783722,6,16.21621704,0,0,6,16.21621704
01M064,P.S. 064 ROBERT SIMON,3,2013,All Students,30,287.8999939,17,56.66666794,10,33.33333206,3,10,0,0,3,10
01M064,P.S. 064 ROBERT SIMON,5,2013,All Students,39,295.6923218,15,38.46154022,16,41.0256424,7,17.94871712,1,2.56410265,8,20.5128212
01M110,P.S. 110 FLORENCE NIGHTINGALE,3,2023,All Students,44,453.5,9,20.45454597,10,22.72727203,14,31.81818199,11,25,25,56.81818008
01M110,P.S. 110 FLORENCE NIGHTINGALE,5,2023,All Students,45,456.1111145,7,15.55555534,8,17.77777863,16,35.55555725,14,31.11111069,30,66.66666412
01M110,P.S. 110 FLORENCE NIGHTINGALE,3,2022,All Students,40,606.5499878,2,5,14,35,20,50,4,10,24,60
01M110,P.S. 110 FLORENCE NIGHTINGALE,5,2022,All Students,41,606.6097412,12,29.26829338,7,17.07317162,10,24.39024353,12,29.26829338,22,53.658535
01M110,P.S. 110 FLORENCE NIGHTINGALE,3,2019,All Students,48,610.4375,4,8.333333015,10,20.83333397,23,47.91666794,11,22.91666603,34,70.83333588
01M110,P.S. 110 FLORENCE NIGHTINGALE,5,2019,All Students,54,617.0184937,4,7.407407284,16,29.62962914,12,22.22222137,22,40.74074173,34,62.9629631
01M110,P.S. 110 FLORENCE NIGHTINGALE,3,2018,All Students,45,615.9111328,3,6.666666508,6,13.33333302,25,55.55555725,11,24.44444466,36,80
01M110,P.S. 110 FLORENCE NIGHTINGALE,5,2018,All Students,69,610.6376953,12,17.39130402,10,14.49275398,24,34.78260803,23,33.33333206,47,68.11594391
01M110,P.S. 110 FLORENCE NIGHTINGALE,3,2017,All Students,59,333.1864319,2,3.389830589,16,27.11864471,28,47.45762634,13,22.0338974,41,69.49152374
01M110,P.S. 110 FLORENCE NIGHTINGALE,5,2017,All Students,47,332.0851135,7,14.89361668,9,19.14893532,11,23.40425491,20,42.55319214,31,65.95744324
01M110,P.S. 110 FLORENCE NIGHTINGALE,3,2016,All Students,81,323.8641968,10,12.34567928,20,24.69135857,39,48.14814758,12,14.81481457,51,62.9629631
01M110,P.S. 110 FLORENCE NIGHTINGALE,5,2016,All Students,65,306.6923218,24,36.92307663,14,21.53846169,11,16.92307663,16,24.61538506,27,41.53845978
01M110,P.S. 110 FLORENCE NIGHTINGALE,3,2015,All Students,49,303.6734619,18,36.73469543,9,18.36734772,16,32.65306091,6,12.24489784,22,44.89796066
01M110,P.S. 110 FLORENCE NIGHTINGALE,5,2015,All Students,54,311.6666565,16,29.62962914,12,22.22222137,15,27.77777863,11,20.37037086,26,48.14814758
01M110,P.S. 110 FLORENCE NIGHTINGALE,3,2014,All Students,69,307.9855042,23,33.33333206,12,17.39130402,32,46.37681198,2,2.898550749,34,49.27536392
01M110,P.S. 110 FLORENCE NIGHTINGALE,5,2014,All Students,45,303.5777893,14,31.11111069,13,28.88888931,8,17.77777863,10,22.22222137,18,40
01M110,P.S. 110 FLORENCE NIGHTINGALE,3,2013,All Students,54,313.0370483,13,24.07407379,11,20.37037086,23,42.59259415,7,12.9629631,30,55.55555725
01M110,P.S. 110 FLORENCE NIGHTINGALE,5,2013,All Students,65,313.21539310000003,12,18.46153831,26,40,15,23.07692337,12,18.46153831,27,41.53845978
01M134,P.S. 134 HENRIETTA SZOLD,3,2023,All Students,25,427.8800049,12,48,11,44,2,8,0,0,2,8
01M134,P.S. 134 HENRIETTA SZOLD,5,2023,All Students,27,432.7407532,13,48.14814758,10,37.0370369,4,14.81481457,0,0,4,14.81481457
01M134,P.S. 134 HENRIETTA SZOLD,3,2022,All Students,31,592.1613159,9,29.03225899,14,45.16128922,8,25.8064518,0,0,8,25.8064518
01M134,P.S. 134 HENRIETTA SZOLD,5,2022,All Students,25,596.1599731,11,44,7,28,5,20,2,8,7,28
01M134,P.S. 134 HENRIETTA SZOLD,3,2019,All Students,38,596.7631836,4,10.52631569,17,44.73684311,16,42.10526276,1,2.631578922,17,44.73684311
01M134,P.S. 134 HENRIETTA SZOLD,5,2019,All Students,47,592.8510742,22,46.80850983,13,27.65957451,12,25.53191566,0,0,12,25.53191566
01M134,P.S. 134 HENRIETTA SZOLD,3,2018,All Students,47,595.3191528,8,17.02127647,19,40.42553329,19,40.42553329,1,2.127659559,20,42.55319214
01M134,P.S. 134 HENRIETTA SZOLD,5,2018,All Students,49,590.9387817,24,48.97959137,16,32.65306091,7,14.28571415,2,4.081632614,9,18.36734772
01M134,P.S. 134 HENRIETTA SZOLD,3,2017,All Students,50,287.8800049,22,44,16,32,12,24,0,0,12,24
01M134,P.S. 134 HENRIETTA SZOLD,5,2017,All Students,64,282.109375,35,54.6875,20,31.25,6,9.375,3,4.6875,9,14.0625
01M134,P.S. 134 HENRIETTA SZOLD,3,2016,All Students,35,295.4857178,12,34.285713200000004,15,42.8571434,8,22.857143399999998,0,0,8,22.857143399999998
01M134,P.S. 134 HENRIETTA SZOLD,5,2016,All Students,34,311.2352905,6,17.64705849,12,35.29411697,11,32.35293961,5,14.70588207,16,47.05882263
01M134,P.S. 134 HENRIETTA SZOLD,3,2015,All Students,43,281.2558289,19,44.1860466,16,37.20930099,7,16.2790699,1,2.325581312,8,18.6046505
01M134,P.S. 134 HENRIETTA SZOLD,5,2015,All Students,39,296.8461609,14,35.89743423,19,48.71794891,5,12.82051277,1,2.56410265,6,15.38461494
01M134,P.S. 134 HENRIETTA SZOLD,3,2014,All Students,44,292.5909119,18,40.90909195,17,38.63636398,9,20.45454597,0,0,9,20.45454597
01M134,P.S. 134 HENRIETTA SZOLD,5,2014,All Students,52,290.884613,18,34.61538315,29,55.76922989,4,7.692307472,1,1.923076868,5,9.615385056
01M134,P.S. 134 HENRIETTA SZOLD,3,2013,All Students,50,291.9200134,20,40,25,50,5,10,0,0,5,10
01M134,P.S. 134 HENRIETTA SZOLD,5,2013,All Students,38,289.6052551,18,47.36841965,17,44.73684311,3,7.894736767,0,0,3,7.894736767
01M140,P.S. 140 NATHAN STRAUS,3,2023,All Students,9,426.6666565,7,77.77777863,1,11.11111069,1,11.11111069,0,0,1,11.11111069
01M140,P.S. 140 NATHAN STRAUS,5,2023,All Students,21,437.4761963,9,42.8571434,6,28.5714283,6,28.5714283,0,0,6,28.5714283
01M140,P.S. 140 NATHAN STRAUS,7,2023,All Students,53,440.4151001,19,35.84905624,17,32.07546997,14,26.41509438,3,5.660377502,17,32.07546997
01M140,P.S. 140 NATHAN STRAUS,All Grades,2023,All Students,174,440.7816162,59,33.90804672,56,32.18390656,49,28.16091919,10,5.747126579,59,33.90804672
01M140,P.S. 140 NATHAN STRAUS,4,2022,All Students,22,590.1818237,6,27.27272797,9,40.90909195,6,27.27272797,1,4.545454502,7,31.81818199
01M140,P.S. 140 NATHAN STRAUS,6,2022,All Students,48,595.4375,20,41.66666794,12,25,6,12.5,10,20.83333397,16,33.33333206
01M140,P.S. 140 NATHAN STRAUS,8,2022,All Students,45,596.3110962,7,15.55555534,21,46.66666794,12,26.66666603,5,11.11111069,17,37.77777863
01M140,P.S. 140 NATHAN STRAUS,3,2019,All Students,17,587.1764526,4,23.52941132,10,58.82352829,3,17.64705849,0,0,3,17.64705849
01M140,P.S. 140 NATHAN STRAUS,5,2019,All Students,19,594.3684082,10,52.63158035,6,31.57894707,1,5.263157845,2,10.52631569,3,15.78947353
01M140,P.S. 140 NATHAN STRAUS,7,2019,All Students,60,593.416687,24,40,17,28.33333397,16,26.66666603,3,5,19,31.66666603
01M140,P.S. 140 NATHAN STRAUS,All Grades,2019,All Students,216,590.8518677,76,35.18518448,83,38.42592621,41,18.98148155,16,7.407407284,57,26.38888931
01M140,P.S. 140 NATHAN STRAUS,4,2018,All Students,20,588.5,6,30,11,55,3,15,0,0,3,15
01M140,P.S. 140 NATHAN STRAUS,6,2018,All Students,57,595.4210815,16,28.07017517,19,33.33333206,13,22.80701828,9,15.78947353,22,38.59649277
01M140,P.S. 140 NATHAN STRAUS,8,2018,All Students,57,597.1578979,7,12.28070164,32,56.14035034,13,22.80701828,5,8.771929741,18,31.57894707
01M140,P.S. 140 NATHAN STRAUS,3,2017,All Students,25,288.8399963,14,56,5,20,5,20,1,4,6,24
01M140,P.S. 140 NATHAN STRAUS,5,2017,All Students,29,293.4827576,12,41.37931061,9,31.03448296,6,20.6896553,2,6.896551609,8,27.58620644
01M140,P.S. 140 NATHAN STRAUS,7,2017,All Students,55,297.4545593,9,16.36363602,33,60,12,21.81818199,1,1.818181872,13,23.63636398
01M140,P.S. 140 NATHAN STRAUS,All Grades,2017,All Students,241,296.0581055,73,30.29045677,110,45.64315414,47,19.5020752,11,4.564315319,58,24.06639099
01M140,P.S. 140 NATHAN STRAUS,4,2016,All Students,31,284,17,54.83871078,13,41.93548203,1,3.225806475,0,0,1,3.225806475
01M140,P.S. 140 NATHAN STRAUS,6,2016,All Students,54,289.444458,16,29.62962914,33,61.11111069,5,9.259259224,0,0,5,9.259259224
01M140,P.S. 140 NATHAN STRAUS,8,2016,All Students,61,304.0819702,9,14.75409794,31,50.81967163,18,29.50819588,3,4.918032646,21,34.42623138
01M140,P.S. 140 NATHAN STRAUS,3,2015,All Students,27,282,16,59.25925827,7,25.92592621,4,14.81481457,0,0,4,14.81481457
01M140,P.S. 140 NATHAN STRAUS,5,2015,All Students,25,282.7999878,13,52,11,44,0,0,1,4,1,4
01M140,P.S. 140 NATHAN STRAUS,7,2015,All Students,54,287.2037048,24,44.44444275,21,38.88888931,9,16.66666603,0,0,9,16.66666603
01M140,P.S. 140 NATHAN STRAUS,All Grades,2015,All Students,236,283.8474426,112,47.45762634,91,38.55932236,29,12.28813553,4,1.694915295,33,13.9830513
01M140,P.S. 140 NATHAN STRAUS,4,2014,All Students,31,291.7096863,9,29.03225899,20,64.51612854,2,6.451612949,0,0,2,6.451612949
01M140,P.S. 140 NATHAN STRAUS,6,2014,All Students,57,283.9473572,24,42.10526276,28,49.12280655,2,3.508771896,3,5.263157845,5,8.771929741
01M140,P.S. 140 NATHAN STRAUS,8,2014,All Students,61,285.9836121,26,42.62295151,30,49.18032837,4,6.557376862,1,1.639344215,5,8.196721077
01M140,P.S. 140 NATHAN STRAUS,3,2013,All Students,31,288.612915,17,54.83871078,12,38.70967865,2,6.451612949,0,0,2,6.451612949
01M140,P.S. 140 NATHAN STRAUS,5,2013,All Students,25,280.8800049,16,64,9,36,0,0,0,0,0,0
01M140,P.S. 140 NATHAN STRAUS,7,2013,All Students,63,279.2380981,38,60.31745911,22,34.92063522,2,3.174603224,1,1.587301612,3,4.761904716
01M140,P.S. 140 NATHAN STRAUS,All Grades,2013,All Students,253,282.4664001,136,53.75494003,98,38.73517609,16,6.324110508,3,1.18577075,19,7.509881496
01M142,P.S. 142 AMALIA CASTRO,4,2023,All Students,28,445.75,5,17.857143399999998,10,35.714286799999996,12,42.8571434,1,3.571428537,13,46.42856979
01M142,P.S. 142 AMALIA CASTRO,All Grades,2023,All Students,60,441.8500061,19,31.66666603,19,31.66666603,19,31.66666603,3,5,22,36.66666794
01M142,P.S. 142 AMALIA CASTRO,4,2022,All Students,5,s,s,s,s,s,s,s,s,s,s,s
01M142,P.S. 142 AMALIA CASTRO,All Grades,2022,All Students,55,s,s,s,s,s,s,s,s,s,s,s
01M142,P.S. 142 AMALIA CASTRO,4,2019,All Students,28,600.1785889,5,17.857143399999998,7,25,15,53.57143021,1,3.571428537,16,57.1428566
01M142,P.S. 142 AMALIA CASTRO,All Grades,2019,All Students,104,597.2692261,26,25,34,32.69230652,40,38.46154022,4,3.846153736,44,42.30769348
01M142,P.S. 142 AMALIA CASTRO,4,2018,All Students,35,596.7142944,5,14.28571415,16,45.714286799999996,12,34.285713200000004,2,5.714285851,14,40
